,date,team_id,CURRENT_SCORE_FEATURE,LAST_WIN_FEATURE,MINOR_PERIOD_FEATURE,MIN_TEAM_FEATURE,ONE_MAYOR_FEATURE,PRE_RANK_FEATURE,PRE_VS_FEATURE,RANK_STATUS_FEATURE,TWO_MAYOR_FEATURE
0,20040807,14374,3.0,"{'win': 3, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 1, 'toteam': 14551, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14551, 'area': 1}","{'weight_score': 0, 'toteam': 14551, 'weight_num': 0}",2.0
1,20040807,14437,3.0,"{'win': 3, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -14, 'toteam': 14559, 'weight_num': 0}","{'pre': 0, 'weight_goal': 2, 'toteam': 14559, 'area': 1}","{'weight_score': 0, 'toteam': 14559, 'weight_num': 0}",2.0
2,20040807,14546,1.0,"{'win': 1, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -7, 'toteam': 14566, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14566, 'area': 1}","{'weight_score': 0, 'toteam': 14566, 'weight_num': 0}",2.0
3,20040807,14550,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -2, 'toteam': 14552, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14552, 'area': 2}","{'weight_score': 0, 'toteam': 14552, 'weight_num': 0}",2.0
4,20040807,14551,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -1, 'toteam': 14374, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14374, 'area': 2}","{'weight_score': 0, 'toteam': 14374, 'weight_num': 0}",2.0
5,20040807,14552,3.0,"{'win': 3, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 1}",2.0,"{'pre': 0, 'weight_score': 2, 'toteam': 14550, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14550, 'area': 1}","{'weight_score': 0, 'toteam': 14550, 'weight_num': 0}",2.0
6,20040807,14554,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -8, 'toteam': 14640, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14640, 'area': 2}","{'weight_score': 0, 'toteam': 14640, 'weight_num': 0}",2.0
7,20040807,14557,3.0,"{'win': 3, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -6, 'toteam': 14629, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14629, 'area': 1}","{'weight_score': 0, 'toteam': 14629, 'weight_num': 0}",2.0
8,20040807,14559,1.0,"{'win': 1, 'area': 2}",0.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 14, 'toteam': 14437, 'weight_num': 0}","{'pre': 0, 'weight_goal': -2, 'toteam': 14437, 'area': 2}","{'weight_score': 0, 'toteam': 14437, 'weight_num': 0}",2.0
9,20040807,14561,1.0,"{'win': 1, 'area': 1}",0.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 10, 'toteam': 14584, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14584, 'area': 1}","{'weight_score': 0, 'toteam': 14584, 'weight_num': 0}",1.0
